"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.58112402563986e-31,0.606454192843866,0.363,0.256,5.09462260180796e-27,0,"PDLIM2"
1.12411221372466e-30,0.398805581209806,0.601,0.491,2.21877268744973e-26,0,"HNRNPA0"
1.16217750011922e-30,0.366205586792024,0.632,0.519,2.29390594973533e-26,0,"MYO1F"
4.55180034699303e-30,0.397380390323275,0.6,0.491,8.98434352489485e-26,0,"EIF4G2"
5.1615460354938e-30,0.497182909067135,0.407,0.294,1.01878595648577e-25,0,"EIF1AX"
5.78031230211753e-30,0.271446139299085,0.778,0.679,1.14091804219196e-25,0,"KLF6"
1.02495482232903e-29,0.436933066574154,0.532,0.422,2.02305582831304e-25,0,"SF1"
1.16173435984074e-29,1.17649475857414,0.114,0.051,2.29303127945366e-25,0,"DND1"
1.39250475892429e-29,0.630408810766031,0.326,0.224,2.74852589316475e-25,0,"PIM1"
1.73139095836329e-29,0.792998809356627,0.215,0.127,3.41741947361747e-25,0,"ELMSAN1"
4.65760086854538e-29,0.507329000322,0.383,0.272,9.19317259433487e-25,0,"MGAT4A"
1.14465027392591e-28,0.577506469118504,0.335,0.231,2.25931071067496e-24,0,"THEMIS"
1.24926770321966e-28,0.529771497920539,0.335,0.229,2.46580459261496e-24,0,"TMC8"
1.37760764638931e-28,0.666511477151045,0.258,0.164,2.71912197244321e-24,0,"NIN"
8.52576563686935e-28,0.951423612712108,0.159,0.087,1.68281562140527e-23,0,"MAP3K8"
8.72253806024354e-28,0.830773597475695,0.194,0.113,1.72165456233087e-23,0,"ABCF3"
1.00127966953075e-27,0.971602612060113,0.126,0.062,1.97632581171979e-23,0,"INADL"
1.1364092856531e-27,0.860950269860266,0.191,0.112,2.24304464802209e-23,0,"SMURF2"
2.49563182522979e-27,0.744695531879256,0.213,0.128,4.92587809663855e-23,0,"MIDN"
2.73756872055826e-27,0.521351109290037,0.386,0.282,5.40341314063788e-23,0,"GABARAP"
3.41101619317265e-27,0.693339186304505,0.246,0.156,6.73266376208418e-23,0,"FLOT1"
4.61869491725993e-27,0.712658184052092,0.268,0.183,9.11638002768765e-23,0,"NHSL2"
5.1965697584848e-27,0.499725664377721,0.415,0.311,1.02569893892973e-22,0,"PYURF"
8.7979490240249e-27,0.773403076459356,0.203,0.121,1.73653917836203e-22,0,"RP5-1180E21.5"
1.97481745037272e-26,0.669387278780375,0.257,0.167,3.89789468354568e-22,0,"RASGRP1"
7.00408672407713e-26,0.317032196005081,0.688,0.59,1.38246663759834e-21,0,"GUK1"
2.01865433194314e-25,0.665721707998252,0.238,0.152,3.98441992038938e-21,0,"CHI3L2"
3.03351815520562e-25,0.802749977378918,0.19,0.113,5.98755813474485e-21,0,"URI1"
3.0465476266581e-25,0.556723834373499,0.299,0.204,6.01327570549777e-21,0,"TTC39C"
1.10306060492465e-24,0.394170018654498,0.544,0.442,2.17722102200027e-20,0,"CMPK1"
1.2154119206849e-24,0.656149289511752,0.249,0.163,2.39898004904786e-20,0,"DOCK10"
5.21183530518379e-24,0.50395290464401,0.354,0.257,1.02871205253718e-19,0,"CH17-189H20.1"
5.68156348431347e-24,0.333966764241593,0.612,0.517,1.12142700053379e-19,0,"ANKRD12"
6.48969685818168e-24,0.576217528825426,0.287,0.196,1.2809363658679e-19,0,"NCF1"
1.52508861492976e-23,0.547380370991515,0.253,0.167,3.01021990814836e-19,0,"CXCR3"
2.93055397728908e-23,0.356884713044286,0.619,0.525,5.78432744037319e-19,0,"SET"
3.25651842861107e-23,0.585553223442487,0.115,0.063,6.42771607439253e-19,0,"SOCS3"
6.05979018677474e-23,0.518148914141938,0.354,0.261,1.1960813870656e-18,0,"YPEL5"
6.1431387593247e-23,0.272118181960137,0.64,0.536,1.21253272831551e-18,0,"IFITM2"
7.20275375288837e-23,0.340398311187321,0.565,0.464,1.42167953574511e-18,0,"SRSF2"
1.3657812189714e-22,0.843518342166596,0.169,0.103,2.69577897000575e-18,0,"ORAI2"
1.45985744564883e-22,0.516199909873267,0.342,0.249,2.88146662622167e-18,0,"MBP"
2.55698014816083e-22,0.707409594956244,0.191,0.118,5.04696741643984e-18,0,"EPM2AIP1"
3.40146303753764e-22,0.425855870206285,0.391,0.293,6.7138077434918e-18,0,"PLEKHF1"
3.95132974614684e-22,0.340408553124306,0.561,0.462,7.79913465294464e-18,0,"LTB"
6.24647953178652e-22,0.417911242501129,0.429,0.333,1.23293012998402e-17,0,"SUN2"
8.09588548508346e-22,0.491719789466737,0.365,0.273,1.59796587704577e-17,0,"SMDT1"
1.01326855321052e-21,0.459167186697133,0.394,0.304,1.99998947032692e-17,0,"SPN"
1.07639397525303e-21,0.792819736903923,0.155,0.09,2.12458642835443e-17,0,"DNASE1"
2.48235640943768e-21,0.467672353157415,0.367,0.275,4.89967508094809e-17,0,"G3BP2"
3.16210721679314e-21,0.336717397545203,0.485,0.384,6.24136722450631e-17,0,"LINC00152"
3.19888458005662e-21,0.711603709249866,0.206,0.136,6.31395838411575e-17,0,"ATP5L2"
3.47708646068671e-21,0.401231872316823,0.497,0.401,6.86307325610342e-17,0,"C1orf56"
3.58284834029373e-21,0.641361466521795,0.244,0.166,7.07182605407177e-17,0,"ZBTB7A"
