"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000067365",-0.0932272318074232,3.39941067631965,-3.2710858808814,0.00118669390653478,0.00630665452643904,-1.40034733567315,"METTL22","79091","methyltransferase 22, Kin17 lysine","Not Significant"
"ENSG00000128016",0.291927779304574,5.06900977725004,3.27106873171775,0.00118676354783575,0.00630665452643904,-1.57977455397376,"ZFP36","7538","ZFP36 zinc finger CCCH-type","Not Significant"
"ENSG00000183735",0.10693458093079,5.80284489076765,3.2708413871495,0.00118768713343273,0.00630996393712042,-1.60298790662561,"TBK1","29110","TANK binding kinase 1","Not Significant"
"ENSG00000238121",-0.456831304188343,1.66623777279684,-3.27063925891637,0.00118850883808253,0.00631273053400383,-1.21496309901649,"LINC00426","100188949","long intergenic non-protein coding RNA 426","Not Significant"
"ENSG00000100426",0.115612412712897,4.8943414624954,3.27054918979341,0.00118887516278422,0.00631307760491114,-1.56686255918446,"ZBED4","9889","zinc finger BED-type containing 4","Not Significant"
"ENSG00000186912",-0.398564711772415,1.84445226845979,-3.27017485270934,0.00119039877133752,0.00631956826849011,-1.26298684204508,"P2RY4","5030","pyrimidinergic receptor P2Y4","Not Significant"
"ENSG00000138100",0.412439049531338,-0.248628206907857,3.26960240363324,0.00119273223090642,0.00632875247742527,-1.076769057154,"TRIM54","57159","tripartite motif containing 54","Not Significant"
"ENSG00000165792",-0.0838506851408019,5.20140628032053,-3.26960779430768,0.00119271023725003,0.00632875247742527,-1.58744164862433,"METTL17","64745","methyltransferase like 17","Not Significant"
"ENSG00000111860",-0.250024959724551,4.38841677725634,-3.26944492416859,0.00119337490464146,0.00633056110896678,-1.52250906149889,"CEP85L","387119","centrosomal protein 85L","Not Significant"
"ENSG00000232815",-0.359494670909187,0.467568678439936,-3.26905019174412,0.00119498722053055,0.00633751123909691,-1.13408001111575,NA,NA,NA,"Not Significant"
"ENSG00000256223",-0.137439483432138,2.77619798383243,-3.2685504254779,0.00119703145580828,0.00634674792355378,-1.32728545845749,"ZNF10","7556","zinc finger protein 10","Not Significant"
