"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","GENENAME","significance"
"ENSG00000143850",0.174658141865577,6.05671234129142,3.43924105181824,0.000634849425646133,0.00226870039126429,-1.3727968686854,"PLEKHA6","22874","pleckstrin homology domain containing A6","Not Significant"
"ENSG00000263002",-0.0793147878657177,3.91240542165108,-3.43913564614582,0.000635090596271099,0.00226917444369808,-1.23097908726924,"ZNF234","10780","zinc finger protein 234","Not Significant"
"ENSG00000112855",0.0812957126729632,5.1175532518333,3.4390258291174,0.000635341951115262,0.00226970148472951,-1.34842557109354,"HARS2","23438","histidyl-tRNA synthetase 2, mitochondrial","Not Significant"
"ENSG00000238123",0.257956405075225,-1.10207004870504,3.43893939238732,0.000635539857220203,0.00227003744392952,-0.635317906859482,NA,NA,NA,"Not Significant"
"ENSG00000168763",-0.111169428122917,4.30820929283557,-3.43765530904482,0.00063848668623311,0.0022801903618155,-1.2943921180716,"CNNM3","26505","cyclin and CBS domain divalent metal cation transport mediator 3","Not Significant"
"ENSG00000103365",-0.18892104929155,5.63105558510582,-3.43718697634593,0.00063956683206748,0.00228367467434518,-1.37523158094777,"GGA2","23062","golgi associated, gamma adaptin ear containing, ARF binding protein 2","Not Significant"
"ENSG00000263400",-0.268973735260496,1.93471912037329,-3.43691818267221,0.000640184734253547,0.00228550760402573,-1.01233241147116,"TMEM220-AS1","101101775","TMEM220 antisense RNA 1","Not Significant"
"ENSG00000182208",-0.0855822001227056,4.96764323294102,-3.43669521456001,0.000640698321598207,0.00228696758400301,-1.34989048475446,"MOB2","81532","MOB kinase activator 2","Not Significant"
"ENSG00000255492",-0.280500397242012,-1.08296413902988,-3.43661274688443,0.000640888623836821,0.00228727331198197,-0.663370820474388,"H3P33","115482722","H3 histone pseudogene 33","Not Significant"
"ENSG00000225278",-0.415721492540426,-1.59446412335567,-3.43651651171275,0.000641110762604732,0.00228769254326351,-0.611338450327986,NA,NA,NA,"Not Significant"
"ENSG00000101350",0.1644427402655,7.09538206400938,3.43587207581666,0.000642600160462611,0.0022926328937432,-1.36049340711741,"KIF3B","9371","kinesin family member 3B","Not Significant"
"ENSG00000158859",0.548136537168711,1.02828179678966,3.43583132002372,0.000642710370909825,0.0022926518470059,-0.870467844958195,"ADAMTS4","9507","ADAM metallopeptidase with thrombospondin type 1 motif 4","Not Significant"
